valid,frame_count,air_temp_degC,humdity_percent,pres_mb,module_error
1,26214,28.00,24.98,76.65,0
1,26215,27.89,24.78,76.67,0
1,26216,27.86,24.63,76.67,0
1,26217,27.52,24.51,76.67,0
1,26218,27.62,24.37,76.68,0
1,26219,27.22,24.19,76.68,0
1,26220,26.82,24.29,76.66,0
1,26221,26.76,24.29,76.66,0
1,26222,27.18,24.31,76.67,0
1,26223,27.19,24.42,76.66,0
1,26224,27.50,24.57,76.68,0
1,26225,27.87,24.67,76.69,0
1,26226,27.76,24.89,76.67,0
1,26227,27.79,25.07,76.68,0
1,26228,27.96,25.20,76.67,0
1,26229,27.69,25.30,76.66,0
1,26230,27.48,25.39,76.68,0
1,26231,27.12,25.51,76.67,0
1,26232,26.87,25.62,76.67,0
1,26233,26.57,25.70,76.67,0
1,26234,26.37,25.75,76.67,0
1,26235,26.27,25.79,76.66,0
1,26236,26.39,25.84,76.70,0
1,26237,26.63,25.84,76.67,0
1,26238,27.18,25.90,76.69,0
1,26239,27.98,25.93,76.67,0
1,26240,28.63,25.97,76.66,0
1,26241,29.12,26.05,76.67,0
1,26242,29.10,26.06,76.68,0
1,26243,28.92,26.15,76.65,0
1,26244,29.70,26.19,76.69,0
1,26245,30.03,26.11,76.66,0
1,26246,29.70,25.95,76.64,0
1,26247,29.42,25.80,76.66,0
1,26248,28.77,25.61,76.67,0
1,26249,28.27,25.42,76.66,0
1,26250,27.75,25.20,76.67,0
1,26251,27.26,25.03,76.67,0
1,26252,26.87,24.82,76.67,0
1,26253,26.79,24.71,76.69,0
1,26254,26.86,24.54,76.67,0
1,26255,27.00,24.52,76.66,0
1,26256,26.97,24.45,76.68,0
1,26257,27.07,24.44,76.68,0
1,26258,27.12,24.48,76.67,0
1,26259,27.68,24.59,76.66,0
1,26260,28.23,24.82,76.64,0
1,26261,28.54,24.96,76.67,0
1,26262,29.46,25.15,76.67,0
1,26263,29.97,25.25,76.66,0
1,26264,29.73,25.37,76.66,0
1,26265,29.36,25.45,76.66,0
1,26266,29.19,25.45,76.66,0
1,26267,29.03,25.42,76.67,0
1,26268,28.63,25.21,76.67,0
1,26269,27.88,24.94,76.65,0
1,26270,27.45,24.73,76.66,0
1,26271,26.95,24.51,76.67,0
1,26272,26.53,24.37,76.67,0
1,26273,26.36,24.32,76.66,0
1,26274,26.17,24.47,76.67,0
1,26275,26.05,24.39,76.68,0
1,26276,26.01,24.30,76.65,0
1,26277,26.07,24.28,76.66,0
1,26278,26.43,24.20,76.67,0
1,26279,26.86,24.44,76.67,0
1,26280,27.45,25.09,76.67,0
1,26281,27.90,25.57,76.65,0
1,26282,27.93,25.79,76.68,0
1,26283,27.84,25.67,76.66,0
1,26284,28.12,25.79,76.67,0
1,26285,28.45,25.85,76.67,0
1,26286,28.88,25.90,76.68,0
1,26287,28.31,25.95,76.67,0
1,26288,27.85,25.87,76.67,0
1,26289,27.73,25.88,76.67,0
1,26290,28.48,25.82,76.66,0
1,26291,28.87,25.70,76.67,0
1,26292,28.65,25.57,76.69,0
1,26293,28.75,25.43,76.68,0
1,26294,28.50,25.37,76.67,0
1,26295,29.18,25.07,76.66,0
1,26296,29.40,24.95,76.67,0
1,26297,29.27,24.78,76.67,0
1,26298,29.09,24.62,76.66,0
1,26299,28.80,24.48,76.63,0
1,26300,28.50,24.29,76.67,0
1,26301,28.13,24.14,76.66,0
1,26302,27.64,24.11,76.63,0
1,26303,27.35,24.05,76.67,0
1,26304,26.96,24.04,76.68,0
1,26305,26.63,23.87,76.67,0
1,26306,26.38,23.92,76.68,0
1,26307,26.05,24.00,76.64,0
1,26308,25.93,24.15,76.67,0
1,26309,26.21,24.54,76.66,0
1,26310,26.70,24.70,76.66,0
1,26311,28.15,24.90,76.67,0
1,26312,27.78,25.18,76.67,0
1,26313,27.62,25.29,76.66,0
1,26314,27.37,25.46,76.65,0
1,26315,27.29,25.64,76.66,0
1,26316,27.37,25.80,76.66,0
1,26317,27.47,25.89,76.67,0
1,26318,27.31,26.11,76.67,0
1,26319,26.96,26.23,76.66,0
1,26320,26.79,26.30,76.64,0
1,26321,26.80,26.44,76.67,0
1,26322,27.04,26.43,76.67,0
1,26323,28.28,26.45,76.65,0
1,26324,29.10,26.54,76.67,0
1,26325,28.90,26.65,76.68,0
1,26326,28.14,26.45,76.68,0
1,26327,27.62,26.19,76.66,0
1,26328,27.11,26.12,76.67,0
1,26329,26.75,26.09,76.65,0
1,26330,26.70,25.92,76.65,0
1,26331,28.03,25.67,76.65,0
1,26332,28.55,25.62,76.66,0
1,26333,28.73,25.55,76.67,0
1,26334,28.80,25.48,76.65,0
1,26335,28.63,25.51,76.68,0
1,26336,28.30,25.29,76.68,0
1,26337,28.31,25.28,76.68,0
1,26338,29.04,25.23,76.67,0
1,26339,29.88,25.10,76.64,0
1,26340,30.63,25.13,76.68,0
1,26341,30.60,25.01,76.68,0
1,26342,30.12,24.72,76.66,0
1,26343,29.54,24.54,76.67,0
1,26344,28.27,24.05,76.68,0
1,26345,27.31,23.87,76.66,0
1,26346,26.89,23.89,76.66,0
1,26347,26.42,23.10,76.66,0
1,26348,26.28,23.12,76.67,0
1,26349,26.19,23.18,76.66,0
1,26350,26.01,23.29,76.68,0
1,26351,25.75,23.45,76.66,0
1,26352,25.57,23.75,76.67,0
1,26353,25.54,23.98,76.68,0
1,26354,25.52,24.36,76.67,0
1,26355,25.54,24.52,76.69,0
1,26356,25.46,24.96,76.68,0
1,26357,25.36,25.48,76.67,0
1,26358,25.44,25.90,76.67,0
1,26359,25.52,26.63,76.68,0
1,26360,25.62,27.01,76.67,0
1,26361,25.69,27.37,76.66,0
1,26362,25.70,27.82,76.67,0
1,26363,25.63,27.95,76.66,0
1,26364,25.65,28.39,76.66,0
