Instrument:,RS41,Measurement End Time:,"06/14/2024, 13:54:52",NCAR RS41 sensor on Strateole 2 Super Pressure Balloons
valid,frame_count,air_temp_degC,humdity_percent,pres_mb,module_error
1,324,-100.0,0.0,771.94,136
1,325,-100.0,0.0,771.98,136
1,326,-100.0,0.0,771.92,136
1,327,-100.0,0.0,771.96,136
1,328,-100.0,0.0,772.0,136
1,329,-100.0,0.0,771.88,136
1,330,-100.0,0.0,771.9,136
1,331,-100.0,0.0,771.9,136
1,332,-100.0,0.0,771.86,136
1,333,-100.0,0.0,771.96,136
1,334,-100.0,0.0,772.04,136
1,335,-100.0,0.0,771.94,136
1,336,-100.0,0.0,771.98,136
1,337,-100.0,0.0,771.96,136
1,338,-100.0,0.0,771.94,136
1,339,-100.0,0.0,771.96,136
1,340,-100.0,0.0,772.0,136
1,341,-100.0,0.0,771.96,136
1,342,-100.0,0.0,771.84,136
1,343,-100.0,0.0,771.96,136
1,344,-100.0,0.0,772.0,136
1,345,-100.0,0.0,772.0,136
1,346,-100.0,0.0,771.98,136
1,347,-100.0,0.0,771.96,136
1,348,-100.0,0.0,771.94,136
1,349,-100.0,0.0,771.98,136
1,350,-100.0,0.0,771.94,136
1,351,-100.0,0.0,771.96,136
1,352,-100.0,0.0,771.94,136
1,353,-100.0,0.0,771.94,136
1,354,-100.0,0.0,771.94,136
1,355,-100.0,0.0,771.94,136
1,356,-100.0,0.0,771.96,136
1,357,-100.0,0.0,772.0,136
1,358,-100.0,0.0,772.0,136
1,359,-100.0,0.0,772.08,136
1,360,-100.0,0.0,771.96,136
1,361,-100.0,0.0,772.0,136
1,362,-100.0,0.0,771.96,136
1,363,-100.0,0.0,771.84,136
1,364,-100.0,0.0,771.94,136
1,365,-100.0,0.0,771.92,136
1,366,-100.0,0.0,771.96,136
1,367,-100.0,0.0,771.92,136
1,368,-100.0,0.0,771.96,136
1,369,-100.0,0.0,771.84,136
1,370,-100.0,0.0,771.92,136
1,371,-100.0,0.0,771.96,136
1,372,-100.0,0.0,771.94,136
1,373,-100.0,0.0,772.02,136
1,374,-100.0,0.0,771.96,136
1,375,-100.0,0.0,771.92,136
1,376,-100.0,0.0,771.98,136
1,377,-100.0,0.0,771.96,136
1,378,-100.0,0.0,771.86,136
1,379,-100.0,0.0,772.08,136
1,380,-100.0,0.0,771.96,136
1,381,-100.0,0.0,771.92,136
1,382,-100.0,0.0,772.02,136
1,383,-100.0,0.0,771.96,136
1,384,-100.0,0.0,772.0,136
1,385,-100.0,0.0,771.96,136
1,386,-100.0,0.0,771.96,136
1,387,-100.0,0.0,771.94,136
1,388,-100.0,0.0,772.0,136
1,389,-100.0,0.0,772.04,136
1,390,-100.0,0.0,771.88,136
1,391,-100.0,0.0,771.94,136
1,392,-100.0,0.0,771.96,136
1,393,-100.0,0.0,771.98,136
1,394,-100.0,0.0,771.98,136
1,395,-100.0,0.0,771.94,136
1,396,-100.0,0.0,772.02,136
1,397,-100.0,0.0,771.96,136
1,398,-100.0,0.0,771.94,136
1,399,-100.0,0.0,771.9,136
1,400,-100.0,0.0,771.9,136
1,401,-100.0,0.0,772.02,136
1,402,-100.0,0.0,771.86,136
1,403,-100.0,0.0,772.0,136
1,404,-100.0,0.0,771.9,136
1,405,-100.0,0.0,772.0,136
1,406,-100.0,0.0,771.94,136
1,407,-100.0,0.0,771.88,136
1,408,-100.0,0.0,772.0,136
1,409,-100.0,0.0,771.96,136
1,410,-100.0,0.0,771.9,136
1,411,-100.0,0.0,771.94,136
1,412,-100.0,0.0,772.02,136
1,413,-100.0,0.0,772.02,136
1,414,-100.0,0.0,771.9,136
1,415,-100.0,0.0,771.9,136
1,416,-100.0,0.0,772.04,136
1,417,-100.0,0.0,771.94,136
1,418,-100.0,0.0,772.02,136
1,419,-100.0,0.0,771.94,136
1,420,-100.0,0.0,772.0,136
1,421,-100.0,0.0,771.94,136
1,422,-100.0,0.0,771.96,136
1,423,-100.0,0.0,772.04,136
1,424,-100.0,0.0,771.9,136
1,425,-100.0,0.0,771.96,136
1,426,-100.0,0.0,771.96,136
1,427,-100.0,0.0,772.0,136
1,428,-100.0,0.0,772.0,136
1,429,-100.0,0.0,772.02,136
1,430,-100.0,0.0,771.96,136
1,431,-100.0,0.0,771.98,136
1,432,-100.0,0.0,772.0,136
1,433,-100.0,0.0,771.94,136
1,434,-100.0,0.0,772.04,136
1,435,-100.0,0.0,772.02,136
1,436,-100.0,0.0,772.04,136
1,437,-100.0,0.0,772.02,136
1,438,-100.0,0.0,772.0,136
1,439,-100.0,0.0,771.96,136
1,440,-100.0,0.0,771.96,136
1,441,-100.0,0.0,772.04,136
1,442,-100.0,0.0,771.94,136
1,443,-100.0,0.0,772.0,136
1,444,-100.0,0.0,771.94,136
1,445,-100.0,0.0,772.04,136
1,446,-100.0,0.0,771.98,136
1,447,-100.0,0.0,771.88,136
1,448,-100.0,0.0,772.02,136
1,449,-100.0,0.0,771.88,136
1,450,-100.0,0.0,771.92,136
1,451,-100.0,0.0,771.96,136
1,452,-100.0,0.0,771.96,136
1,453,-100.0,0.0,771.94,136
1,454,-100.0,0.0,772.0,136
1,455,-100.0,0.0,771.96,136
1,456,-100.0,0.0,771.96,136
1,457,-100.0,0.0,771.94,136
1,458,-100.0,0.0,772.02,136
1,459,-100.0,0.0,771.84,136
1,460,-100.0,0.0,772.0,136
1,461,-100.0,0.0,771.9,136
1,462,-100.0,0.0,771.96,136
1,463,-100.0,0.0,771.96,136
1,464,-100.0,0.0,771.92,136
1,465,-100.0,0.0,771.84,136
1,466,-100.0,0.0,771.9,136
1,467,-100.0,0.0,772.0,136
1,468,-100.0,0.0,771.88,136
1,469,-100.0,0.0,771.88,136
1,470,-100.0,0.0,772.02,136
1,471,-100.0,0.0,771.96,136
1,472,-100.0,0.0,771.96,136
1,473,-100.0,0.0,771.94,136
1,474,-100.0,0.0,771.9,136
1,475,-100.0,0.0,771.98,136
1,476,-100.0,0.0,771.96,136
1,477,-100.0,0.0,772.0,136
1,478,-100.0,0.0,771.94,136
1,479,-100.0,0.0,772.04,136
1,480,-100.0,0.0,771.96,136
1,481,-100.0,0.0,772.0,136
1,482,-100.0,0.0,772.08,136
1,483,-100.0,0.0,771.94,136
1,484,-100.0,0.0,772.02,136
1,485,-100.0,0.0,771.96,136
1,486,-100.0,0.0,772.02,136
1,487,-100.0,0.0,771.98,136
1,488,-100.0,0.0,772.0,136
1,489,-100.0,0.0,772.06,136
1,490,-100.0,0.0,771.9,136
1,491,-100.0,0.0,772.02,136
1,492,-100.0,0.0,772.04,136
1,493,-100.0,0.0,772.06,136
1,494,-100.0,0.0,771.92,136
1,495,-100.0,0.0,771.9,136
1,496,-100.0,0.0,771.98,136
1,497,-100.0,0.0,771.92,136
1,498,-100.0,0.0,771.96,136
1,499,-100.0,0.0,772.02,136
1,500,-100.0,0.0,772.0,136
1,501,-100.0,0.0,772.08,136
1,502,-100.0,0.0,771.92,136
1,503,-100.0,0.0,772.14,136
1,504,-100.0,0.0,772.0,136
1,505,-100.0,0.0,771.98,136
1,506,-100.0,0.0,772.0,136
1,507,-100.0,0.0,772.0,136
1,508,-100.0,0.0,771.98,136
1,509,-100.0,0.0,772.0,136
1,510,-100.0,0.0,772.0,136
1,511,-100.0,0.0,771.92,136
1,512,-100.0,0.0,771.96,136
1,513,-100.0,0.0,772.0,136
1,514,-100.0,0.0,771.94,136
1,515,-100.0,0.0,772.02,136
1,516,-100.0,0.0,772.02,136
1,517,-100.0,0.0,771.9,136
1,518,-100.0,0.0,771.98,136
1,519,-100.0,0.0,772.0,136
1,520,-100.0,0.0,771.96,136
1,521,-100.0,0.0,771.96,136
1,522,-100.0,0.0,771.94,136
1,523,-100.0,0.0,772.02,136
1,524,-100.0,0.0,772.02,136
1,525,-100.0,0.0,771.96,136
1,526,-100.0,0.0,771.92,136
1,527,-100.0,0.0,772.02,136
1,528,-100.0,0.0,771.96,136
1,529,-100.0,0.0,771.96,136
1,530,-100.0,0.0,771.96,136
1,531,-100.0,0.0,771.9,136
1,532,-100.0,0.0,772.0,136
1,533,-100.0,0.0,772.0,136
1,534,-100.0,0.0,772.02,136
1,535,-100.0,0.0,772.0,136
1,536,-100.0,0.0,772.0,136
1,537,-100.0,0.0,771.96,136
1,538,-100.0,0.0,771.94,136
1,539,-100.0,0.0,771.96,136
1,540,-100.0,0.0,772.06,136
1,541,-100.0,0.0,772.0,136
1,542,-100.0,0.0,772.02,136
1,543,-100.0,0.0,772.02,136
1,544,-100.0,0.0,771.98,136
1,545,-100.0,0.0,772.04,136
1,546,-100.0,0.0,771.96,136
1,547,-100.0,0.0,772.02,136
1,548,-100.0,0.0,772.0,136
1,549,-100.0,0.0,772.06,136
1,550,-100.0,0.0,771.86,136
1,551,-100.0,0.0,772.0,136
1,552,-100.0,0.0,772.0,136
1,553,-100.0,0.0,772.0,136
1,554,-100.0,0.0,772.02,136
1,555,-100.0,0.0,771.9,136
1,556,-100.0,0.0,772.06,136
1,557,-100.0,0.0,771.96,136
1,558,-100.0,0.0,771.96,136
1,559,-100.0,0.0,771.9,136
1,560,-100.0,0.0,772.06,136
1,561,-100.0,0.0,772.02,136
1,1,-100.0,0.0,770.56,136
1,2,-100.0,0.0,770.54,136
1,3,-100.0,0.0,770.52,136
1,4,-100.0,0.0,770.58,136
1,5,-100.0,0.0,770.52,136
1,6,-100.0,0.0,770.6,136
1,7,-100.0,0.0,770.54,136
1,8,-100.0,0.0,770.52,136
1,9,-100.0,0.0,770.52,136
1,10,-100.0,0.0,770.58,136
1,11,-100.0,0.0,770.5,136
1,12,-100.0,0.0,770.6,136
1,13,-100.0,0.0,770.56,136
1,14,-100.0,0.0,770.6,136
1,15,-100.0,0.0,770.54,136
1,16,-100.0,0.0,770.5,136
1,17,-100.0,0.0,770.56,136
1,18,-100.0,0.0,770.46,136
1,19,-100.0,0.0,770.58,136
1,20,-100.0,0.0,770.66,136
1,21,-100.0,0.0,770.58,136
1,22,-100.0,0.0,770.46,136
1,23,-100.0,0.0,770.52,136
1,24,-100.0,0.0,770.54,136
1,25,-100.0,0.0,770.6,136
1,26,-100.0,0.0,770.54,136
1,27,-100.0,0.0,770.56,136
1,28,-100.0,0.0,770.56,136
1,29,-100.0,0.0,770.58,136
1,30,-100.0,0.0,770.52,136
1,31,-100.0,0.0,770.56,136
1,32,-100.0,0.0,770.58,136
1,33,-100.0,0.0,770.44,136
1,34,-100.0,0.0,770.54,136
1,35,-100.0,0.0,770.54,136
1,36,-100.0,0.0,770.52,136
1,37,-100.0,0.0,770.52,136
1,38,-100.0,0.0,770.52,136
1,39,-100.0,0.0,770.58,136
1,40,-100.0,0.0,770.52,136

